地名,センター,ペットボトル,プラスチック容器包装類,埋立ごみ,有害ごみ,食用びん類,飲料用空缶類,金属類,紙類（資源ごみ）
松陰,リサイクル事務所,水2 水4,水2 水4,水4,水4,水4,水4,水4,水4
松ヶ崎,リサイクル事務所,火1 火3,火1 火3,火1,火1,火1,火1,火1,火1
松ヶ森,リサイクル事務所,金1 金3,金1 金3,金1,金1,金1,金1,金1,金1
祭掛,リサイクル事務所,火2 ,火2 ,火2,火2,火2,火2,火2,火2
真名井,リサイクル事務所,月2 月4,月2 月4,月4,月4,月4,月4,月4,月4
丸田西,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
丸田東,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
丸山,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
丸山口,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
丸山中町,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
丸山西町,リサイクル事務所,水2 水4,水2 水4,水2,水2,水2,水2,水2,水2
万願寺,リサイクル事務所,木3 ,木3 ,木3,木3,木3,木3,木3,木3
三笠,リサイクル事務所,火2 火4,火2 火4,火2,火2,火2,火2,火2,火2
水間,リサイクル事務所,木2 木4,木2 木4,木4,木4,木4,木4,木4,木4
水間下,リサイクル事務所,木4 ,木4 ,木4,木4,木4,木4,木4,木4
溝尻,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
溝尻新町,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
溝尻田口,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
溝尻中町,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
溝尻中町南,リサイクル事務所,水1 水3,水1 水3,水1,水1,水1,水1,水1,水1
